antigen,topic,claim,doi,source,url
HPN,expression/polarity,"Hepsin (TMPRSS1) type II transmembrane serine protease; apical/luminal on epithelia; liver, kidney, prostate; RNA-protein relationship",10.2741/2447,Front Biosci 2007 (hepsin & prostate),https://doi.org/10.2741/2447
HPN,biology,Type II transmembrane serine protease dysregulation; hepsin tissue distribution & activation,10.3390/ijms21082663,IJMS 2020 (TTSP review),https://doi.org/10.3390/ijms21082663
TMPRSS2,expression,"TMPRSS2 protein in prostate, lung (alveolar/airway), GI; in situ protein profiling",10.1183/13993003.01123-2020,Eur Respir J 2020 (SARS-CoV-2 receptors in situ),https://doi.org/10.1183/13993003.01123-2020
TACSTD2,toxicity,"Sacituzumab govitecan (anti-TROP2 ADC): neutropenia, diarrhea, mucositis, skin toxicity reflecting broad TROP2 epithelial expression",10.1002/cncr.30789,Cancer 2017 (sacituzumab govitecan),https://doi.org/10.1002/cncr.30789
TACSTD2,polarity,TROP2 required for proper subcellular localization at epithelial junctions; controls claudin stability / tight-junction,10.2353/ajpath.2010.100149,Am J Pathol 2010 (TROP2 subcellular),https://doi.org/10.2353/ajpath.2010.100149
TACSTD2,polarity,EPCAM and TROP2 share role in claudin stabilization and intestinal epithelium development (junctional/basolateral),10.1242/bio.059403,Biol Open 2022 (EPCAM/TROP2 claudin),https://doi.org/10.1242/bio.059403
TACSTD2,expression,TROP2 expression across normal squamous/glandular epithelia; prognostic in multiple carcinomas,10.1038/modpathol.3801001,Mod Pathol 2007 (TROP2 marker),https://doi.org/10.1038/modpathol.3801001
CD276,toxicity/target,B7-H3 (CD276) ADC/immunotherapy; broad tumor + normal stromal/epithelial expression; therapeutic landscape,10.1186/s12943-023-01751-9,Mol Cancer 2023 (B7-H3 frontiers),https://doi.org/10.1186/s12943-023-01751-9
CD276,expression regulation,B7-H3 post-transcriptionally regulated; protein can exceed mRNA (miR-29); mTORC1 upregulation,10.1038/s41467-023-36881-7,Nat Commun 2023 (mTORC1-B7-H3),https://doi.org/10.1038/s41467-023-36881-7
CD276,prostate,B7-H3 therapeutic vulnerability in PTEN/prostate cancer,10.1126/scitranslmed.adf6724,Sci Transl Med 2023 (B7-H3 prostate),https://doi.org/10.1126/scitranslmed.adf6724
EPCAM,toxicity,Catumaxomab (anti-EpCAM x anti-CD3 trifunctional): malignant ascites; on-target hepatotoxicity/cytokine effects reflecting broad epithelial EpCAM,10.1002/ijc.25423,Int J Cancer 2010 (catumaxomab ascites),https://doi.org/10.1002/ijc.25423
EPCAM,polarity/normal,EpCAM basolateral epithelial adhesion; germline loss → congenital tufting enteropathy (essential normal-gut role),10.1002/humu.23688,Hum Mutat 2018 (EPCAM tufting enteropathy),https://doi.org/10.1002/humu.23688
EPCAM,polarity,Matriptase cleavage of EpCAM destabilizes claudins & dysregulates intestinal barrier (junctional localization),10.1172/jci88428,J Clin Invest 2017 (EpCAM claudin),https://doi.org/10.1172/jci88428
DLL3,toxicity,Tarlatamab (DLL3xCD3 BiTE) in SCLC: CRS and neurologic events (ICANS); DLL3 minimal normal surface expression,10.1056/nejmoa2307980,NEJM 2023 (tarlatamab SCLC),https://doi.org/10.1056/nejmoa2307980
DLL3,toxicity/mgmt,Practical management of tarlatamab adverse events (CRS/neurotoxicity),10.1002/cncr.35738,Cancer 2025 (tarlatamab AE management),https://doi.org/10.1002/cncr.35738
DLL3,target biology,"DLL3 an inhibitory Notch ligand, normally intracellular (Golgi), aberrantly surface-expressed in SCLC/NEPC — basis of tumor selectivity",10.1186/s13045-023-01464-y,Exp Hematol Oncol 2023 (DLL3 therapies),https://doi.org/10.1186/s13045-023-01464-y
